time,altitude,apoapsis,periapsis,speed,pitch,throttle,mass,dynamic_pressure
1.78,87.57,87.58,-598434.54,0.24,88.66940307617188,1.0,612232.25,0.03
2.88,87.71,87.76,-598435.03,1.13,87.86419677734375,1.0,610354.56,0.72
3.91,91.82,94.41,-598435.03,7.19,89.13677978515625,1.0,606205.81,29.48
4.92,102.37,111.66,-598435.25,13.5,89.73532104492188,1.0,601963.94,103.79
5.95,117.5,136.58,-598435.44,19.33,89.72662353515625,1.0,598137.88,212.24
6.97,140.09,174.06,-598435.64,25.77,89.73312377929688,1.0,593979.06,376.39
7.99,169.18,222.7,-598435.84,32.34,89.7513427734375,1.0,589820.31,590.43
8.99,205.69,284.2,-598436.06,39.15,89.772705078125,1.0,585578.38,861.84
10.0,246.46,353.39,-598436.27,45.69,89.79156494140625,1.0,581585.94,1167.61
11.02,295.65,437.53,-598436.49,52.61,89.81231689453125,1.0,577427.19,1539.22
12.03,351.84,534.37,-598436.72,59.66,89.82754516601562,1.0,573268.44,1965.99
13.06,417.83,649.01,-598436.97,67.13,89.85195922851562,1.0,568943.31,2469.15
14.11,490.17,775.72,-598437.25,74.59,89.8687744140625,1.0,564701.38,3021.88
15.11,570.2,917.06,-598437.43,82.2,89.89166259765625,1.0,560459.44,3633.46
16.12,656.25,1070.29,-598437.56,89.78,89.91152954101562,1.0,556300.69,4290.0
17.15,751.91,1242.08,-598437.35,97.67,89.89166259765625,1.0,552058.75,5017.18
18.2,859.93,1437.74,-598436.6,106.01,89.80218505859375,1.0,547650.5,5833.35
19.22,965.46,1630.53,-598435.16,113.7,89.65509033203125,1.0,543658.06,6624.49
20.23,1083.31,1847.66,-598432.82,121.86,89.48187255859375,1.0,539499.31,7499.48
21.24,1212.0,2086.84,-598429.16,130.33,89.2750244140625,1.0,535257.38,8443.38
22.27,1352.19,2349.8,-598424.08,139.12,89.0736083984375,1.0,530932.25,9456.62
23.28,1495.69,2621.47,-598418.16,147.73,88.85226440429688,1.0,526773.5,10476.54
24.32,1651.02,2918.27,-598410.25,156.68,88.58917236328125,1.0,522531.56,11559.54
25.33,1812.25,3229.25,-598400.9,165.61,88.3768310546875,1.0,518372.81,12659.48
26.36,1985.99,3567.59,-598389.8,174.89,88.10379028320312,1.0,514130.88,13816.11
27.38,2172.97,3935.35,-598376.37,184.53,87.7911376953125,1.0,509805.75,15026.69
28.42,2366.18,4319.15,-598360.84,194.16,87.47540283203125,1.0,505563.81,16238.87
29.46,2565.22,4718.49,-598343.27,203.78,87.20669555664062,1.0,501405.03,17445.95
30.46,2769.68,5132.77,-598324.11,213.37,86.8551025390625,1.0,497329.44,18641.03
31.52,2983.61,5570.43,-598301.8,223.14,86.50241088867188,1.0,493253.88,19841.47
32.54,3197.86,6013.0,-598277.8,232.67,86.15234375,1.0,489344.66,20992.61
33.56,3416.26,6468.45,-598251.53,242.15,85.8021240234375,1.0,485518.59,22113.3
34.57,3648.47,6957.38,-598221.71,252.0,85.44232177734375,1.0,481609.34,23246.5
35.63,3905.71,7504.55,-598186.37,262.67,85.0433349609375,1.0,477450.56,24431.89
36.64,4140.93,8009.89,-598152.17,272.22,84.64154052734375,1.0,473790.88,25451.73
37.64,4401.49,8574.96,-598111.3,282.59,84.2091064453125,1.0,469881.62,26509.6
38.68,4677.65,9180.12,-598065.83,293.37,83.78240966796875,1.0,465889.19,27550.44
39.7,4964.14,9813.66,-598015.93,304.31,83.31832885742188,1.0,461896.81,28538.42
40.7,5267.4,10490.72,-597959.8,315.66,82.83139038085938,1.0,457821.19,29485.71
41.72,5575.2,11185.9,-597899.22,326.99,82.32293701171875,1.0,453828.78,30352.62
42.73,5887.08,11898.96,-597833.91,338.32,81.81271362304688,1.0,449919.59,31138.66
43.74,6216.5,12660.96,-597760.7,350.11,81.29083251953125,1.0,445927.16,31866.57
44.75,6542.69,13423.11,-597684.18,361.6,80.75643920898438,1.0,442101.12,32479.96
45.75,6909.06,14287.86,-597592.82,374.3,80.19412231445312,1.0,437942.34,33044.6
46.8,7272.51,15155.18,-597497.02,386.71,79.58685302734375,1.0,433949.94,33480.39
47.84,7663.5,16098.43,-597387.01,399.86,78.95379638671875,1.0,429708.0,33820.96
48.87,8050.93,17045.03,-597272.67,412.75,78.36798095703125,1.0,425798.78,34020.58
49.9,8450.39,18031.33,-597145.82,425.87,77.64492797851562,1.0,421723.16,34099.55
50.95,8862.03,19061.25,-597008.61,439.26,77.05331420898438,1.0,417813.94,34005.0
51.96,9277.1,20111.91,-596860.77,452.62,76.30755615234375,1.0,413904.69,33346.64
52.99,9694.99,21183.06,-596703.3,465.97,75.63592529296875,1.0,410078.62,32624.22
54.01,10143.55,22348.41,-596524.71,480.2,74.93759155273438,1.0,406086.22,31796.47
55.03,10595.33,23538.74,-596334.7,494.43,74.20492553710938,1.0,402177.0,30918.46
56.06,11069.75,24806.29,-596122.97,509.3,73.44711303710938,1.0,398184.59,29956.28
57.09,11557.57,26128.85,-595892.42,524.5,72.67333984375,1.0,394192.16,28935.82
58.11,12048.41,27479.27,-595646.91,539.72,71.86624145507812,1.0,390282.97,27887.07
59.14,12552.49,28885.82,-595379.22,555.28,71.03805541992188,1.0,386290.53,26770.17
60.19,13103.5,30446.06,-595068.67,572.2,70.18832397460938,1.0,382214.94,25590.2
61.19,13612.6,31908.54,-594765.65,587.75,69.33660888671875,1.0,378472.06,24476.24
62.21,14157.8,33491.91,-594418.3,604.29,68.3818359375,1.0,374562.81,23281.44
